filename,width,height,class,xmin,ymin,xmax,ymax
1000.jpg,255,170,female,53,52,133,143
1201.jpg,206,274,female,73,5,164,113
1202.jpg,261,392,female,66,71,193,243
1203.jpg,246,282,female,71,3,210,178
1204.jpg,184,275,female,21,4,130,160
1205.jpg,113,170,female,21,9,70,68
1206.jpg,226,170,female,76,11,204,154
1207.jpg,114,170,female,36,32,67,68
1208.jpg,249,170,female,80,16,179,138
1209.jpg,136,170,female,39,12,103,94
1210.jpg,114,170,female,36,49,61,76
1211.jpg,255,170,female,117,32,175,112
1212.jpg,113,170,female,4,12,89,130
1213.jpg,107,170,female,37,11,60,46
1214.jpg,112,170,female,7,15,81,124
1215.jpg,112,170,female,57,14,82,55
1215.jpg,112,170,male,31,22,58,58
1216.jpg,194,250,female,60,24,154,147
1217.jpg,92,138,female,36,3,56,24
1218.jpg,127,99,female,52,1,83,35
1219.jpg,99,100,female,24,3,68,56
1220.jpg,92,138,female,37,12,58,34
1221.jpg,94,134,female,38,8,59,35
1222.jpg,123,102,female,40,4,89,59
1223.jpg,108,116,female,15,10,61,69
1224.jpg,94,134,female,20,17,75,94
1225.jpg,100,126,female,24,2,73,59
1226.jpg,95,133,female,24,5,74,78
1227.jpg,94,134,female,19,6,78,81
1228.jpg,255,170,female,132,31,163,74
1229.jpg,254,170,female,96,13,164,103
1230.jpg,255,170,female,100,3,168,86
1231.jpg,255,170,female,117,24,179,105
1232.jpg,255,170,female,126,52,165,96
1233.jpg,255,170,female,112,13,151,76
1233.jpg,255,170,male,62,17,112,83
1234.jpg,255,170,female,46,12,133,113
1234.jpg,255,170,male,138,1,216,89
1235.jpg,256,170,male,78,8,130,74
1235.jpg,256,170,female,129,18,178,80
1236.jpg,274,170,female,67,39,112,88
1237.jpg,299,170,female,147,27,166,52
1238.jpg,255,170,female,133,26,174,83
1239.jpg,255,170,female,159,35,207,103
1239.jpg,255,170,male,44,34,100,106
1240.jpg,254,170,female,92,8,148,74
1241.jpg,254,170,female,64,34,92,68
1242.jpg,268,170,female,174,38,197,67
1243.jpg,272,170,female,119,36,150,69
1243.jpg,272,170,female,34,28,67,66
1244.jpg,255,170,female,116,19,154,62
1245.jpg,255,170,female,118,20,164,81
1246.jpg,254,170,female,107,52,161,119
1247.jpg,254,170,female,148,45,167,69
1248.jpg,113,170,female,26,56,92,129
1249.jpg,195,186,female,79,24,142,105
1250.jpg,290,370,female,58,42,185,179
1251.jpg,255,170,female,118,25,180,93
1252.jpg,254,170,female,45,41,81,89
1253.jpg,113,170,female,47,46,63,69
1254.jpg,255,170,female,110,88,140,117
1255.jpg,255,170,female,74,49,97,69
1256.jpg,254,170,female,169,20,215,70
1257.jpg,255,170,female,108,15,139,49
1258.jpg,254,170,female,111,53,139,86
1259.jpg,254,170,female,62,41,80,62
1260.jpg,170,170,female,78,15,98,38
1261.jpg,226,170,female,110,4,157,55
1262.jpg,226,170,female,94,6,134,64
1264.jpg,255,170,female,94,30,166,115
1265.jpg,255,170,female,89,36,156,132
1266.jpg,255,170,female,115,46,149,83
1267.jpg,256,170,female,108,16,174,97
1268.jpg,255,170,female,109,42,148,85
1270.jpg,255,170,female,80,32,214,134
1271.jpg,255,170,female,60,19,104,63
1272.jpg,255,170,female,104,49,152,107
1273.jpg,255,170,female,102,16,171,108
1274.jpg,255,170,female,127,6,175,56
1275.jpg,255,170,female,43,17,137,127
1276.jpg,170,170,female,61,14,116,87
1277.jpg,128,170,female,60,32,102,80
1278.jpg,322,170,female,154,31,216,104
1279.jpg,255,170,female,101,41,150,112
1280.jpg,256,170,female,31,5,158,150
1281.jpg,254,170,female,132,26,186,74
1282.jpg,255,170,female,134,52,192,121
1283.jpg,255,170,female,109,36,149,91
1284.jpg,255,170,female,122,30,189,96
1285.jpg,238,170,female,92,49,148,104
1286.jpg,212,170,female,85,38,130,94
1287.jpg,255,170,female,132,11,185,84
1288.jpg,255,170,female,113,30,176,100
1289.jpg,255,170,female,146,17,195,84
1289.jpg,255,170,female,10,3,60,48
1290.jpg,254,170,female,15,2,121,135
1291.jpg,255,170,female,113,18,202,134
1292.jpg,263,170,female,108,2,202,94
1293.jpg,255,170,female,77,7,159,74
1294.jpg,255,170,female,70,1,193,110
1295.jpg,255,170,female,53,3,138,88
1296.jpg,113,170,female,15,5,106,103
